"","time","value"
"411",2013-03-04 01:09:45,1513.5
"412",2013-03-04 01:10:00,1516.5
"413",2013-03-04 01:10:00,1516.5
"414",2013-03-04 01:19:28,1513.5
"415",2013-03-04 01:20:00,1516.5
"416",2013-03-04 01:21:00,1516.5
"417",2013-03-04 01:29:00,1516.5
"418",2013-03-04 01:29:36,1513.25
"419",2013-03-04 01:39:30,1513.25
"420",2013-03-04 01:40:00,1516.5
"421",2013-03-04 01:41:00,1516.5
"422",2013-03-04 01:49:43,1512.25
"423",2013-03-04 01:50:00,1516.5
"424",2013-03-04 01:51:00,1516.5
"425",2013-03-04 01:59:24,1512.25
"426",2013-03-04 02:00:00,1516.5
"427",2013-03-04 02:09:44,1511.25
"428",2013-03-04 02:10:00,1516.5
"429",2013-03-04 02:11:00,1516.5
"430",2013-03-04 02:19:46,1511.5
"431",2013-03-04 02:20:00,1516.5
"432",2013-03-04 02:21:00,1516.5
"433",2013-03-04 02:29:00,1516.5
"434",2013-03-04 02:29:35,1511.25
"435",2013-03-04 02:31:00,1516.5
"436",2013-03-04 02:39:30,1511.5
"437",2013-03-04 02:40:00,1516.5
"438",2013-03-04 02:41:00,1516.5
"439",2013-03-04 02:49:00,1516.5
"440",2013-03-04 02:49:44,1511.25
"441",2013-03-04 02:51:00,1516.5
"442",2013-03-04 02:59:44,1511.25
"443",2013-03-04 03:00:00,1516.5
"444",2013-03-04 03:09:10,1511.25
"445",2013-03-04 03:10:00,1516.5
"446",2013-03-04 03:19:46,1510.75
"447",2013-03-04 03:21:00,1516.5
"448",2013-03-04 03:29:24,1511.25
"449",2013-03-04 03:30:00,1516.5
"450",2013-03-04 03:39:39,1511.25
"451",2013-03-04 03:40:00,1516.5
"452",2013-03-04 03:41:00,1516.5
"453",2013-03-04 03:49:39,1511.25
"454",2013-03-04 03:50:00,1516.5
"455",2013-03-04 03:59:00,1516.5
"456",2013-03-04 03:59:46,1511.25
"457",2013-03-04 04:01:00,1516.5
"458",2013-03-04 04:09:00,1516.5
"459",2013-03-04 04:09:35,1510.75
"460",2013-03-04 04:11:00,1516.5
"461",2013-03-04 04:19:42,1510.75
"462",2013-03-04 04:20:00,1516.5
"463",2013-03-04 04:29:45,1508.75
"464",2013-03-04 04:30:00,1516.5
"465",2013-03-04 04:39:00,1516.5
"466",2013-03-04 04:39:47,1508.5
"467",2013-03-04 04:49:33,1509
"468",2013-03-04 04:50:00,1516.5
"469",2013-03-04 04:59:38,1507.75
"470",2013-03-04 05:00:00,1508
"471",2013-03-04 05:01:00,1507.75
"472",2013-03-04 05:09:46,1507.75
"473",2013-03-04 05:10:00,1508
"474",2013-03-04 05:11:00,1508
"475",2013-03-04 05:19:45,1509
"476",2013-03-04 05:20:00,1509
"477",2013-03-04 05:29:45,1509.5
"478",2013-03-04 05:30:00,1509.75
"479",2013-03-04 05:31:00,1509.75
"480",2013-03-04 05:39:32,1510
"481",2013-03-04 05:40:00,1509.75
"482",2013-03-04 05:49:46,1510
"483",2013-03-04 05:50:00,1509.5
"484",2013-03-04 05:51:00,1509.75
"485",2013-03-04 05:59:46,1509.25
"486",2013-03-04 06:00:00,1509.5
"487",2013-03-04 06:01:00,1509.75
"488",2013-03-04 06:09:39,1510
"489",2013-03-04 06:10:00,1510.25
"490",2013-03-04 06:11:00,1510.25
"491",2013-03-04 06:19:44,1510.25
"492",2013-03-04 06:20:00,1510
"493",2013-03-04 06:29:00,1509.25
"494",2013-03-04 06:29:47,1509.5
"495",2013-03-04 06:39:48,1508.25
"496",2013-03-04 06:40:00,1508.25
"497",2013-03-04 06:41:00,1508.5
"498",2013-03-04 06:49:00,1508.25
"499",2013-03-04 06:49:48,1508.25
"500",2013-03-04 06:59:46,1509
"501",2013-03-04 07:00:00,1509
"502",2013-03-04 07:01:00,1508.75
"503",2013-03-04 07:09:45,1508.25
"504",2013-03-04 07:10:00,1507.75
"505",2013-03-04 07:11:00,1507.75
"506",2013-03-04 07:19:23,1507.5
"507",2013-03-04 07:20:00,1507.5
"508",2013-03-04 07:29:00,1507.75
"509",2013-03-04 07:29:23,1507.75
"510",2013-03-04 07:31:00,1508
"511",2013-03-04 07:39:48,1509.5
"512",2013-03-04 07:40:00,1509.5
"513",2013-03-04 07:41:00,1509.25
"514",2013-03-04 07:49:45,1509.25
"515",2013-03-04 07:50:00,1509.25
"516",2013-03-04 07:51:00,1509.25
"517",2013-03-04 07:59:46,1509.25
"518",2013-03-04 08:00:00,1509.25
"519",2013-03-04 08:01:00,1509.5
"520",2013-03-04 08:09:50,1510
"521",2013-03-04 08:10:00,1509.75
"522",2013-03-04 08:19:31,1509.75
"523",2013-03-04 08:20:00,1509.5
"524",2013-03-04 08:29:49,1508.75
"525",2013-03-04 08:30:00,1508.75
"526",2013-03-04 08:39:50,1510.5
"527",2013-03-04 08:40:00,1510.25
"528",2013-03-04 08:41:00,1510.75
"529",2013-03-04 08:50:00,1510.25
"530",2013-03-04 08:51:00,1510.75
"531",2013-03-04 08:59:44,1510.75
"532",2013-03-04 09:00:00,1511
"533",2013-03-04 09:01:00,1511
"534",2013-03-04 09:09:28,1511.25
"535",2013-03-04 09:10:00,1511.25
"536",2013-03-04 09:11:00,1512
"537",2013-03-04 09:19:39,1512.5
"538",2013-03-04 09:20:00,1512.5
"539",2013-03-04 09:29:50,1512.25
"540",2013-03-04 09:30:00,1512.25
"541",2013-03-04 09:30:00,1512
"542",2013-03-04 09:39:49,1511.5
"543",2013-03-04 09:40:00,1511.75
"544",2013-03-04 09:41:00,1511.75
"545",2013-03-04 09:49:00,1511.75
"546",2013-03-04 09:49:36,1511.75
"547",2013-03-04 09:51:00,1511.25
"548",2013-03-04 09:59:39,1511.5
"549",2013-03-04 10:00:00,1511.75
"550",2013-03-04 10:01:00,1511.5
"551",2013-03-04 10:09:50,1510.75
"552",2013-03-04 10:10:00,1510.75
"553",2013-03-04 10:11:00,1510.75
"554",2013-03-04 10:19:44,1511
"555",2013-03-04 10:20:00,1511.5
"556",2013-03-04 10:21:00,1511.5
"557",2013-03-04 10:29:48,1512
"558",2013-03-04 10:39:00,1512.25
"559",2013-03-04 10:39:09,1512.25
"560",2013-03-04 10:41:00,1512.25
"561",2013-03-04 10:49:34,1512
"562",2013-03-04 10:50:00,1511.75
"563",2013-03-04 10:59:52,1511.25
"564",2013-03-04 11:00:00,1511
"565",2013-03-04 11:01:00,1511
"566",2013-03-04 11:09:48,1511.5
"567",2013-03-04 11:10:00,1511.5
"568",2013-03-04 11:11:00,1511
"569",2013-03-04 11:19:52,1510.25
"570",2013-03-04 11:20:00,1510.25
"571",2013-03-04 11:29:49,1509.5
"572",2013-03-04 11:30:00,1509.75
"573",2013-03-04 11:31:00,1510
"574",2013-03-04 11:39:52,1510
"575",2013-03-04 11:40:00,1510
"576",2013-03-04 11:49:51,1511.25
"577",2013-03-04 11:50:00,1511.25
"578",2013-03-04 11:50:00,1511
"579",2013-03-04 11:59:45,1511.5
"580",2013-03-04 12:00:00,1511.75
"581",2013-03-04 12:01:00,1511.5
"582",2013-03-04 12:09:45,1511.75
"583",2013-03-04 12:10:00,1511.75
"584",2013-03-04 12:19:34,1511.5
"585",2013-03-04 12:20:00,1511.25
"586",2013-03-04 12:29:50,1513
"587",2013-03-04 12:30:00,1513.5
"588",2013-03-04 12:31:00,1513.5
"589",2013-03-04 12:39:51,1515.5
"590",2013-03-04 12:40:00,1516.25
"591",2013-03-04 12:41:00,1516
"592",2013-03-04 12:49:52,1514
"593",2013-03-04 12:50:00,1514
"594",2013-03-04 12:51:00,1514.25
"595",2013-03-04 12:59:48,1514.75
"596",2013-03-04 13:00:00,1514.25
"597",2013-03-04 13:09:51,1514.25
"598",2013-03-04 13:10:00,1514.25
"599",2013-03-04 13:11:00,1514
"600",2013-03-04 13:19:51,1514
"601",2013-03-04 13:20:00,1514
"602",2013-03-04 13:21:00,1514
"603",2013-03-04 13:29:53,1515.25
"604",2013-03-04 13:30:00,1515
"605",2013-03-04 13:31:00,1515.25
"606",2013-03-04 13:39:53,1514.75
"607",2013-03-04 13:40:00,1514.75
"608",2013-03-04 13:40:00,1514.75
"609",2013-03-04 13:49:51,1514.5
"610",2013-03-04 13:50:00,1514.75
"611",2013-03-04 13:51:00,1514.25
"612",2013-03-04 13:59:49,1514
"613",2013-03-04 14:00:00,1514
"614",2013-03-04 14:01:00,1513.75
"615",2013-03-04 14:09:00,1512.5
"616",2013-03-04 14:09:53,1512.75
"617",2013-03-04 14:10:00,1512.5
"618",2013-03-04 14:19:53,1513
